time,mz,charge,intensity,RT_length,points,scans,peaks,Tmz,Tintensity,Tmass,Tintensity10,Pintensity,rt_start,rt_end,Ttime,sample,fraction,status,group,mz_error,score,adj_score
17.3,349.99138,5,5193500.0,0.303333,77,21,5,349.99138,22.308276,349.99,6.71546,5.2e-05,17.148333,17.451667,17.476884,A3,F1,use,349.97_350.0_1,9e-05,0.984961,1.181953
18.0,350.59174,5,1779900.0,0.278333,22,12,3,350.59174,20.763365,350.59,6.250396,1.8e-05,17.860833,18.139167,18.511377,A1,F1,use,350.57_350.6_1,9e-05,0.993034,1.19164
18.3,350.59165,5,3950000.0,0.238333,25,15,2,350.59165,21.913421,350.59,6.596597,3.4e-05,18.180833,18.419167,18.742786,A2,F1,use,350.57_350.6_1,9e-05,0.993034,1.19164
19.2,350.59156,5,1362300.0,0.176667,15,7,3,350.59156,20.377613,350.59,6.134273,1.4e-05,19.111667,19.288333,19.429083,A3,F1,use,350.57_350.6_1,9e-05,0.990418,1.188502
16.8,352.79422,5,2144800.0,0.18,32,14,3,352.79422,21.032412,352.79,6.331387,1.9e-05,16.71,16.89,17.201948,A2,F1,use,352.77_352.8_1,8e-05,0.99319,1.191828
16.9,352.79414,5,2131200.0,0.168333,16,7,3,352.79414,21.023235,352.79,6.328624,2.2e-05,16.815833,16.984167,17.380126,A1,F1,use,352.77_352.8_1,8e-05,0.99319,1.191828
18.0,352.79439,5,3115900.0,0.128167,14,7,3,352.79439,21.571218,352.79,6.493584,3.1e-05,17.935917,18.064083,18.196115,A3,F1,use,352.77_352.8_1,0.00025,0.988884,1.186661
15.6,352.99514,5,114790.0,0.043167,6,4,2,352.99514,16.808637,353.0,5.059904,1e-06,15.578417,15.621583,15.730179,A3,F1,use,352.98_353.01_1,0.00964,0.298627,0.358353
15.8,353.00478,5,133120.0,0.051167,6,4,2,353.00478,17.022368,353.0,5.124243,1e-06,15.774417,15.825583,16.174723,A2,F1,use,352.98_353.01_1,0.00964,0.298627,0.358352
15.8,354.16812,5,544410.0,0.1355,25,14,3,354.16812,19.054334,354.17,5.735926,5e-06,15.73225,15.86775,15.935674,A3,F1,use,354.15_354.18_1,0.00011,0.978514,1.36961
14.9,354.16823,5,972840.0,0.128833,28,11,3,354.16823,19.891843,354.17,5.988041,1e-05,14.835583,14.964417,15.323306,A1,F1,use,354.15_354.18_1,0.00011,0.978514,1.174217
16.1,354.57577,5,6200100.0,0.35,81,35,5,354.57577,22.56386,354.58,6.792399,5.4e-05,15.925,16.275,16.482891,A2,F1,use,354.56_354.59_1,5e-05,0.946323,1.331864
15.3,354.57572,5,6770100.0,0.796667,222,66,4,354.57572,22.690746,354.58,6.830595,6.9e-05,14.901667,15.698333,15.73467,A1,F1,use,354.56_354.59_1,5e-05,0.946323,1.135587
17.7,354.57567,5,5968900.0,0.483333,77,29,4,354.57567,22.509034,354.58,6.775894,5.2e-05,17.458333,17.941667,18.126451,A2,F1,use,354.56_354.59_2,0.00024,0.981385,1.366927
18.1,354.57543,5,3086800.0,0.291667,30,10,4,354.57543,21.557681,354.58,6.489508,3.2e-05,17.954167,18.245833,18.614218,A1,F1,use,354.56_354.59_2,0.0002,0.988999,1.186799
18.6,354.57563,5,3722600.0,0.303333,22,10,4,354.57563,21.827879,354.58,6.570846,3.7e-05,18.448333,18.751667,18.812599,A3,F1,use,354.56_354.59_2,0.0002,0.988999,1.186799
